name,parent,value
Origin,,
valuePublic2,Origin,3651904306.8595
valueMission2,Origin,4732259768.6654
valueSmallBiz2,Origin,9134921723.7915
valueNonRes2,Origin,113395407106.044
valueSF2,Origin,83705091034.0963
valueMF2,Origin,21414900767.1286
