percentile,valueOverall5,valuePublic5,valueMission5,valueSmallBiz5,valueNonRes5,valueSF5,valueMF5
0-11%,30042.28188,124.8719385,285.8928532,5497.587148,10295.4572,23481.99782,4637.490478
12-20%,24950.29677,419.0789277,354.7498915,4681.40061,7870.673271,15453.97988,4737.263387
21-31%,11774.00264,202.7391625,372.7502863,4912.990695,8832.221003,8659.572084,3271.672652
32+%,9208.963239,626.0724506,746.3381842,4212.866823,8995.740492,6456.969636,2567.233211
