line,place_geoid,place_pop,poverty_perc,placeOverall1,valueOverall1,placeSF1,valueSF1,placeMF1,valueMF1,placeSmallBiz1,valueSmallBiz1,placeNonRes1,valueNonRes1,placeMission1,valueMission1,placePublic1,valuePublic1
1,3651000,8419316,0.18407093,"Washington, DC",34959.863,"Arlington, VA",37912.707,"Chula Vista, CA",9284.626,"Anchorage, AK",9750.129,"Reno, NV",11983.305,"New Orleans, LA",926.52027,"Reno, NV",922.967769
2,644000,3958236,0.18893408,"Denver, CO",33820.266,"Washington, DC",37357.103,"San Francisco, CA",9247.116,"New Orleans, LA",8780.942,"Jersey City, NJ",10589.69391,"Cincinnati, OH",851.53154,"Newark, NJ",833.052503
3,1714000,2708837,0.1961173,"Fremont, CA",33662.406,"San Francisco, CA",36599.206,"Anaheim, CA",8723.567,"Plano, TX",7780.717,"Henderson, NV",10281.38083,"Washington, DC",819.33914,"Miami, FL",770.70491
4,4835000,2216995,0.20279112,"Seattle, WA",33275.569,"Fremont, CA",34878.716,"Philadelphia, PA",8616.797,"Chandler, AZ",7698.876,"Aurora, CO",9321.17145,"St. Louis, MO",818.17248,"Atlanta, GA",692.877251
5,455000,1623042,0.19157485,"San Francisco, CA",30813.394,"Seattle, WA",34200.349,"Los Angeles, CA",8495.895,"Gilbert, AZ",7362.785,"North Las Vegas, NV",9243.49147,"El Paso, TX",811.04512,"Denver, CO",668.834306
6,4260000,1579075,0.24380579,"Gilbert, AZ",30548.119,"Irvine, CA",33494.164,"Santa Ana, CA",8261.584,"Scottsdale, AZ",7333.06,"Las Vegas, NV",9207.01171,"Newark, NJ",670.01762,"Seattle, WA",557.755733
7,4865000,1472533,0.18579064,"Scottsdale, AZ",30419.284,"Boston, MA",31567.992,"Fremont, CA",7557.391,"Winston-Salem, NC",6819.408,"Arlington, TX",9063.02208,"Baltimore, MD",542.0446,"Cleveland, OH",506.013217
8,666000,1397114,0.13849751,"Paradise, NV",28941.618,"Gilbert, AZ",31371.836,"Oakland, CA",7324.789,"Denver, CO",6788.109,"Denver, CO",8944.39189,"Cleveland, OH",530.09625,"Boston, MA",505.263162
9,4819000,1338803,0.19856973,"San Jose, CA",28268.707,"Denver, CO",30016.023,"Colorado Springs, CO",7186.193,"Fort Worth, TX",6718.937,"Chicago, IL",8648.30079,"Milwaukee, WI",506.91236,"Pittsburgh, PA",479.069041
10,668000,996048,0.10062223,"Irvine, CA",28254.226,"San Jose, CA",29293.859,"San Jose, CA",7145.71,"Irving, TX",6699.622,"Anchorage, AK",8635.7298,"Kansas City, MO",480.88667,"Buffalo, NY",474.69362
11,1235000,896027,0.16102046,"Arlington, VA",27536.016,"Oakland, CA",28282.4,"Chandler, AZ",7127.274,"Charlotte, NC",6676.156,"Glendale, AZ",8468.02647,"Oakland, CA",475.41938,"Jersey City, NJ",442.911362
12,4805000,895544,0.15261985,"Reno, NV",26656.448,"Atlanta, GA",28169.911,"Denver, CO",7124.175,"Nashville, TN",6494.883,"Mesa, AZ",8449.65277,"Detroit, MI",460.77174,"San Francisco, CA",408.103149
13,667000,874961,0.11958074,"Plano, TX",26059.329,"San Diego, CA",27544.83,"Gilbert, AZ",7065.905,"Raleigh, NC",6466.174,"Fort Worth, TX",8194.3098,"Durham, NC",449.72565,"Minneapolis, MN",407.055817
14,1836003,867836,0.19384734,"Austin, TX",26056.978,"Chula Vista, CA",27299.014,"Jersey City, NJ",6993.577,"Lexington, KY",6443.356,"San Bernardino, CA",8181.84791,"Boston, MA",446.20961,"Detroit, MI",395.604638
15,4827000,857013,0.16542389,"Atlanta, GA",26033.738,"Los Angeles, CA",27051.274,"Portland, OR",6768.885,"Greensboro, NC",6302.763,"Austin, TX",8042.11844,"Tampa, FL",429.86837,"Baltimore, MD",389.720356
